iter	Passed	Remaining
957	100419	4402
958	100525	4297
959	100631	4192
960	100742	4088
961	100848	3983
962	100958	3878
963	101064	3774
964	101172	3669
965	101280	3564
966	101384	3459
967	101484	3354
968	101574	3249
969	101674	3144
970	101765	3039
971	101869	2934
972	101970	2829
973	102063	2724
974	102158	2619
975	102255	2514
976	102355	2409
977	102459	2304
978	102563	2200
979	102666	2095
980	102773	1990
981	102881	1885
982	102989	1781
983	103095	1676
984	103206	1571
985	103317	1466
986	103424	1362
987	103529	1257
988	103634	1152
989	103736	1047
990	103842	943
991	103945	838
992	104044	733
993	104150	628
994	104254	523
995	104361	419
996	104467	314
997	104575	209
998	104683	104
999	104782	0
